QUARTO;GARAGENS;BANHEIROS;AREA;BAIRRO;PRECO
3;1;2;80 a 110m2;Jardim Apipema;0 a 300K
4;2;3;163 a 4126m2;Itaigara;650K a 1M
3;1;2;60 a 80m2;Federação;0 a 300K
1;1;1;13 a 60m2;Canela;0 a 300K
3;2;3;110 a 163m2;Stiep;450K a 650K
3;2;2;80 a 110m2;Candeal;450K a 650K
3;3;5ou+;110 a 163m2;Patamares;1M a 88M
3;2;2;110 a 163m2;Costa Azul;450K a 650K
4;3;5ou+;163 a 4126m2;Patamares;1M a 88M
2;1;2;60 a 80m2;Pituba;450K a 650K
2;2;4;110 a 163m2;Horto Bela Vista;1M a 88M
2;3;4;110 a 163m2;Pituba;650K a 1M
2;2;2;60 a 80m2;Pituba;450K a 650K
3;2;4;163 a 4126m2;Graça;1M a 88M
3;1;3;80 a 110m2;Candeal;300K a 450K
3;2;3;80 a 110m2;Trobogy;650K a 1M
2;1;1;13 a 60m2;Pernambués;0 a 300K
4;2;5ou+;163 a 4126m2;Itaigara;1M a 88M
4;5ou+;5ou+;163 a 4126m2;Vitória;1M a 88M
1;1;1;13 a 60m2;Graça;300K a 450K
3;1;2;110 a 163m2;Pituba;450K a 650K
2;2;2;110 a 163m2;Ondina;650K a 1M
3;3;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
3;3;5ou+;110 a 163m2;Pituaçu;1M a 88M
4;5ou+;5ou+;163 a 4126m2;Vitória;1M a 88M
4;4;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
2;1;2;13 a 60m2;Brotas;300K a 450K
1;nan;1;13 a 60m2;Engenho Velho da Federação;0 a 300K
5ou+;3;4;163 a 4126m2;Itaigara;1M a 88M
1;1;1;13 a 60m2;Pituba;0 a 300K
3;2;3;80 a 110m2;Candeal;300K a 450K
3;2;4;80 a 110m2;Barbalho;650K a 1M
4;4;5ou+;163 a 4126m2;Valéria;1M a 88M
1;1;1;13 a 60m2;Armação;300K a 450K
2;1;2;60 a 80m2;Pituba;450K a 650K
2;1;2;13 a 60m2;Costa Azul;300K a 450K
4;3;3;110 a 163m2;Pituba;650K a 1M
3;2;4;110 a 163m2;Paralela;1M a 88M
3;nan;2;110 a 163m2;Vitória;450K a 650K
4;3;5ou+;163 a 4126m2;Pituba;1M a 88M
4;3;4;163 a 4126m2;Patamares;1M a 88M
2;1;1;60 a 80m2;Barbalho;0 a 300K
4;4;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
3;nan;2;60 a 80m2;Patamares;0 a 300K
2;2;3;163 a 4126m2;Graça;650K a 1M
4;3;5ou+;163 a 4126m2;Candeal;1M a 88M
4;3;5ou+;163 a 4126m2;Jardim Apipema;1M a 88M
3;2;4;110 a 163m2;Patamares;650K a 1M
2;2;1;80 a 110m2;Ondina;650K a 1M
3;1;3;110 a 163m2;Rio Vermelho;650K a 1M
3;2;5ou+;110 a 163m2;Pituba;1M a 88M
